"logFC","logCPM","F","PValue","FDR"
"NICN1",-8.956471325255,2.85109307013148,333.640662424164,5.53222129898895e-16,7.66765872039868e-13
"MME",-2.21853233610583,5.66894977457897,99.5875157017272,1.46722640173631e-10,1.01678789640327e-07
"UBA7",2.15814103059955,4.05650719630963,74.0377380401539,3.18737580812179e-09,1.47256762335227e-06
"MASP1",2.38848741940098,4.43336924217063,63.344528841187,1.4740629764473e-08,5.1076282133899e-06
"ROBO2",-4.02974313015782,1.41274541808519,51.5178215949493,1.01106460955358e-07,2.80267109768251e-05
"KCNAB1",-1.93864932399257,2.75787708277644,40.2478974538893,8.54609967815175e-07,0.000197414902565305
"FLNB",0.895084017823042,8.04963564659725,35.6405458247103,2.28017216534938e-06,0.000446206940499384
"COL7A1",1.33115881673741,5.07573380969376,35.0920502294691,2.57550903607148e-06,0.000446206940499384
"TM4SF1",0.876232685632266,8.58330563271158,31.2880892297965,6.18998858185531e-06,0.000953258241605718
"CRYGS",-1.94149285157613,1.04865920412001,29.8359938856963,8.789717867176e-06,0.00121825489639059
"VEPH1",0.946054106418167,5.98037874872241,27.0664548871744,1.76249451108169e-05,0.00222074308396293
"SLC66A1L",-1.18834182280873,3.4287387508994,25.7692151556828,2.47362990504582e-05,0.00285704254032792
"ABHD14B",0.754986679503063,5.80291724904859,23.5998970870911,4.44966377983386e-05,0.00474402615296133
"CD200",2.19279740056507,1.27573543187669,23.276883267867,4.86736034962947e-05,0.00481868674613317
"COL8A1",-0.618846761088877,11.6783946992644,21.4184648705194,8.25740958870921e-05,0.00758859771593478
"GALNT15",2.54079459031039,3.11914512607486,23.3665206149925,8.76028596356107e-05,0.00758859771593478
"C3orf80",-2.98542511715515,0.418879477958294,20.5934960821733,0.000105150812850743,0.00851956622325086
"KBTBD8",-1.76153900832601,1.77414678178734,20.4216505089091,0.000110643717185076,0.00851956622325086
"IMPG2",-4.91609799441551,-0.550430329863232,20.6779655368986,0.000120178679025349,0.00876671837521756
"LOC105377198",-6.21411098334817,-2.04663732410632,19.3779321212758,0.000247745669287187,0.0171687748816021
"RPL29",0.628105250810366,7.32930210336672,17.2494661425958,0.000294216215177662,0.0187762328911987
"PARP9",1.19002485241534,3.20266261521636,17.0898195969908,0.000309687475187425,0.0187762328911987
"CHL1",-4.08363504686674,-0.136230696128667,17.4671126151796,0.000311582508295505,0.0187762328911987
"SAMD7",-6.14501424394041,-1.51892863529976,16.9973621019154,0.000413664897538737,0.0238891478328621
"CDCP1",1.5774901415816,3.4845840685531,16.1057446027882,0.000486374634397949,0.0269646097310223
"HACD2",-0.705072483846712,6.81494180252941,15.5173858955498,0.000518896374942364,0.0276611682950045
"PLSCR4",-0.821283709691695,5.46935776445338,14.7076206808319,0.000682641864657124,0.0350422823857324
"DLG1",-0.521389587525194,6.51960687199928,13.5377207786363,0.00102572049113516,0.050242488275315
"CASR",-4.78214338034878,-1.26039704602751,13.7262925006931,0.00105124975467831,0.050242488275315
"SSUH2",-5.07774911293918,-1.97640560145419,13.3733726540092,0.00118711970989918,0.0543779241289125
"HTR1F",-1.87823730382341,0.312405221552417,13.059491697306,0.00121624505627438,0.0543779241289125
"LOC107986028",-5.22738233118797,-2.29285554338871,13.4387164110776,0.00128265890423645,0.0555551637897414
"SLC6A1",-2.70873671113804,1.3490151608265,13.6877846335647,0.00136783941962122,0.0571701440281275
"HGD",-1.33824575576786,1.67593902825429,12.5716839931544,0.00145065949864983,0.0571701440281275
"LMCD1",-0.519600871845507,7.30813874726198,12.5361875565229,0.00146953052210827,0.0571701440281275
"SLC26A6",0.834996211634739,4.62142095838965,12.5075683004198,0.00148493880592539,0.0571701440281275
"IL12A",-0.982153792431674,3.22190261231797,12.3488114340841,0.00157364792866689,0.0575214068845487
"LXN",0.725618475522562,4.39003672365164,12.3222029931802,0.00158906917274657,0.0575214068845487
"LOC105377008",-5.60151704511099,-1.48561379748392,13.0747025245892,0.0016185677261886,0.0575214068845487
"LINC00960",-2.83139816168978,0.104755406877427,11.9504885663904,0.00182249189340656,0.0631493441065373
"LIPH",3.75623233093532,-0.277762146913069,11.7927464694913,0.00193254416047702,0.0653294196688086
"UTS2B",-2.0640458683492,-0.241941091558159,11.4347977840388,0.0022099086298968,0.07232322235692
"SKIL",-0.72503837232428,5.39461585955749,11.3813372097098,0.00225491020339095,0.07232322235692
"TMPPE",1.93090409667343,0.769205910171696,11.3335519768245,0.0022959753129181,0.07232322235692
"CHST2",-1.38804320786245,2.57585828065486,11.0828129196917,0.00262446571114057,0.0806056260403102
"RPSA",0.520986098614014,6.30929826987363,10.9316524880563,0.00267522279787465,0.0806056260403102
"LOC105377116",5.83022907236756,-0.806390177714324,10.9288895679656,0.00286031115494433,0.0843487502287838
"LOC102724068",-2.54516146239239,-0.0300039450616043,10.6048238420881,0.00303379015775774,0.0860428429052591
"SMIM4",0.657282174751756,4.89449676192826,10.5813743581721,0.00306145007197005,0.0860428429052591
"LOC101927432",-2.70679834855117,0.0391574033262743,10.7111574283884,0.00310399866180588,0.0860428429052591
"DZIP1L",-0.853648838324436,3.23285284650383,10.3989524733459,0.00328620234662727,0.0875537649584701
"GRIP2",6.57368911988302,-1.10360290663504,10.5471325763428,0.00330251413005312,0.0875537649584701
"NECTIN3-AS1",5.65668358961838,-2.34717337341101,10.7030805242523,0.00334801554314496,0.0875537649584701
"MTHFD2P1",-4.29826796259447,-2.22438062212644,10.51843395452,0.00358376625276605,0.0919833338209952
"PLSCR5",-3.98367654407134,-1.61126164418638,10.2223040306733,0.0037377619984213,0.0935752964244728
"GPX1",0.50668917951149,7.83045961573432,10.0411344830422,0.00378082005755445,0.0935752964244728
"SMC4",-0.899710701757348,3.93637292948504,9.68634258136965,0.00435202348241134,0.101169505265275
"ST3GAL6",-0.78323513237431,2.69299664307041,9.6369534152657,0.00443870517808194,0.101169505265275
"MYLK",-0.463220727861486,7.849032013718,9.63423776819746,0.00444352542876294,0.101169505265275
"FLNB-AS1",3.2997459697377,-0.260188092724551,9.63206802275423,0.00444738079496819,0.101169505265275
"TGFBR2",-0.813796569519736,7.12546447115101,10.1306609969786,0.0044526261336088,0.101169505265275
"LOC105377142",-4.46217354048739,-2.53984344191133,9.81901437689333,0.00465684619751333,0.104103045641185
"ABCF2P1",-4.08320019862918,-1.93088780012301,9.38309456460725,0.00491487139306916,0.104707982066293
"TM4SF1-AS1",5.92829854269919,-2.30833844639262,9.4929098252306,0.00496136228599172,0.104707982066293
"PDE12",-0.726787079790593,4.98422492209013,9.35188289314246,0.00497714653429756,0.104707982066293
"GNB4",-0.613194990346338,5.54436376926297,9.32382969254524,0.00503385197554868,0.104707982066293
"ATP2C1",-0.56297745497244,6.7237097754634,9.30832248171204,0.00506549859281165,0.104707982066293
"LOC107986020",-5.00775230120768,-0.869096561876339,9.51669015534263,0.00522614871527434,0.104707982066293
"CFAP20DC-DT",-5.16950437065565,-1.24020469061942,9.32125445001667,0.00530904825365347,0.104707982066293
"FGF12",-2.29694829664501,-0.55356144573717,9.16798817150877,0.0053619259548231,0.104707982066293
"ATP11B",-0.652160344452465,5.3940967345004,9.13354722270871,0.0054375232355919,0.104707982066293
"PAQR9",-3.46361703162104,-1.42141897419914,9.26005412670074,0.00543937569175549,0.104707982066293
"DIPK2A",-1.33395479415615,2.19968608517532,9.08469608409869,0.00560186646640282,0.106358724964853
"ZNF589",1.37453720927011,1.58967411598381,9.01434191701353,0.00570825870726298,0.106914142814412
"COLQ",-2.01542056998942,0.176115425328065,8.95859536441709,0.00583987007711895,0.107920799025158
"LOC105376945",-4.83197215076609,-2.3084934017002,9.24338103780121,0.00621410749512932,0.113325697213806
"PFKFB4",0.710014495689976,3.9856150089247,8.70254018144314,0.00648829364658313,0.115346959856131
"RPL14",0.416960902818552,6.75328258039334,8.70138630649483,0.00649138735121085,0.115346959856131
"LOC90246",4.13837406485023,-1.20299582367887,8.43055025722651,0.00726398185132111,0.127424360827484
"EPHA3",-0.871126140748638,3.2082093252677,8.40074503065052,0.00735494146190385,0.127424360827484
"LOC102724877",-4.90962804567362,-2.71885088721517,8.55534712730614,0.00761018058336506,0.13021864553758
"RPL32",0.42981713636764,7.49277017896918,8.14334839339525,0.00819415897069366,0.13850127235831
"FRMD4B",1.32947924745554,1.857629185882,8.0823715618612,0.00840790925692289,0.138947727936962
"THAP12P2",-3.89612227790703,-1.58144342372028,8.28700871038526,0.00847381864723563,0.138947727936962
"HEG1",0.402818933821515,8.61482116289678,8.02401497975481,0.00861817872383161,0.138947727936962
"LOC105377115",-4.5937928228428,-2.05133090060778,8.38686337745899,0.00863445608048152,0.138947727936962
"KCNMB2-AS1",-3.51390811018742,-0.851286488171974,8.09584973517024,0.00872182707829413,0.138947727936962
"FBLN2",3.25699402071558,3.60233796501543,8.7853406427337,0.00896853168502448,0.140328155617234
"C3orf49",-4.96181633342356,-2.14133197508629,8.27796553154369,0.00901097103169829,0.140328155617234
"FNDC3B",-0.325613819944122,8.13914423494706,7.75543973909015,0.00966271742650781,0.148659823304284
"ADPRH",-1.12163414854879,2.46715862040347,7.72185868397982,0.00980275329427325,0.148659823304284
"SI",-2.85228172190635,-1.82482924565919,7.70644938119322,0.00986775161904339,0.148659823304284
"RPL17P17",-5.02958466349624,-1.55675181745287,7.87463136161496,0.0100193542815162,0.149320699292274
"NFKBIZ",-0.759491649951919,3.79944653796048,7.6293426131806,0.0102001444006751,0.150397873822719
"CLDN11",1.11982907611454,5.52794736379826,8.06213431303313,0.0105991372315009,0.154635833714319
"STXBP5L",-3.15121489686366,-0.298443581937228,7.44096287095477,0.011064805155533,0.159385633216462
"GRK7",-3.30731594252208,-0.665652556339669,7.46778297351698,0.0113553546587492,0.159385633216462
"TKT",0.391105491072059,7.95220159923558,7.37082650588466,0.0114069276699344,0.159385633216462
"SLC12A8",0.545661995691066,4.55291369892979,7.3686518864136,0.0114177185384577,0.159385633216462
"PLOD2",-0.918096895110498,9.58837679283062,8.01254753026386,0.0114996849362527,0.159385633216462
"IL1RAP",-0.627202094862852,4.24668994030615,7.2985649908465,0.0117715491500151,0.16153828833585
"LOC105374128",-2.37301930367166,-0.223868788487308,7.30088198011566,0.0121942870282114,0.164562170673276
"MFSD1",-0.488415798509033,8.91127981305432,7.20154481657594,0.0122812867620395,0.164562170673276
"MELTF",3.5929833399937,2.10432504366053,7.88274652117034,0.0123480993867393,0.164562170673276
"NECTIN3",-0.569227939239063,4.56394152281243,7.10769322617102,0.0127974297984695,0.167571217951651
"CD80",-2.43888800126307,-0.802537152043883,7.18050858274236,0.0128415922797536,0.167571217951651
"LINC02010",-5.14417581859166,-2.58813282743482,7.35462015771052,0.0130492545456819,0.167571217951651
"LINC00488",-4.05762789411388,-1.72643152816922,7.14183644172978,0.013057497502726,0.167571217951651
"OR5H4P",-4.18737850412197,-2.6538340232104,7.31488254454917,0.0132635355038154,0.16865376337879
"TMEM108",4.78054771279822,-1.09724611295507,7.05657262846591,0.0135477661356342,0.170701853308991
"LOC105376951",-4.32084075433083,-2.3034528201031,7.02761718717636,0.0137188387346275,0.171300094470214
"MAP4",0.339367969148014,8.16731917755401,6.88794463085002,0.0141012945354128,0.174079326119491
"TAGLN3",4.98162182795022,-2.30573457809505,6.93920069556551,0.0142560989585668,0.174079326119491
"LOC105377013",-1.7060945651579,-0.116605555890165,6.85355266672243,0.0143182129708672,0.174079326119491
"ZIC4",-3.93274576766356,-0.667465459373933,6.94212665032487,0.0147984990983099,0.178255836056006
"TRAIP",1.20972502704065,1.15174019623633,6.76120698890136,0.0149189588618302,0.178255836056006
"FAM162A",0.414470312012087,5.43602909473075,6.73574638553581,0.0150894090555048,0.178593419460645
"RPL12P44",-4.99024678323936,-2.58433072374464,6.98450553838912,0.0152049231575441,0.178593419460645
"TRH",-4.12822685388909,-1.91016227968697,6.73840574132763,0.0155643410931152,0.181278796260989
"MRPS25",0.379077533587032,5.37102589378386,6.62508954312316,0.0158554281752551,0.183130195424196
"RPL35A",0.372872536129967,7.6449304048894,6.57613234776463,0.0162078536753207,0.185653596644583
"TM4SF4",1.45552142413669,0.827189656041756,6.54887157608006,0.0164078119411108,0.186403502871963
"LOC105376944",-3.25456075232892,-2.26253977220296,6.57687946296359,0.0167129378609294,0.188326275408521
"LRRC77P",-4.66356674078163,-2.6676397189582,6.80698714718406,0.0172358045081758,0.1926518149059
"AGTR1",-1.74390213033805,1.14661566276092,6.53022382225798,0.017498853439443,0.194027286936544
"RPL22L1",0.64856778255078,3.22258124785113,6.36255018610765,0.0178491743530582,0.19634091788364
"SENP2",-0.56112036271569,5.18118881309935,6.31526324966387,0.0182367227752122,0.197891496651504
"ANKRD28",0.479608594559261,4.68292479732147,6.31056935907325,0.0182756937744535,0.197891496651504
"LOC105374291",-2.37253049735853,-1.70657366293294,6.25047227010947,0.0187828171660032,0.201806082109151
"ERICH6",3.18599932754809,-1.13225774614472,6.23206197064572,0.0189412491949857,0.201942856801924
"SPATA16",-4.25213491949665,-1.70080841137533,6.34342608852321,0.0191784629533668,0.202423833511991
"LOC107986018",-2.95525585913303,-1.51059122274346,6.18527023318669,0.0193505708918426,0.202423833511991
"ST6GAL1",-0.834857800395675,2.15147891124525,6.1699288494068,0.0194868819543239,0.202423833511991
"BCL6",0.582648339273671,3.65634093408037,6.16056966938099,0.0195705582183311,0.202423833511991
"SYNPR",-3.62158728091497,-1.92949268418766,6.25556310774302,0.0199347510310341,0.202698518157379
"CCDC80",-0.318449398379323,10.6020960081544,6.11551184069976,0.0199789678360195,0.202698518157379
"MST1",1.30769831448059,0.908242693441326,6.06171722091801,0.0204788890122322,0.202698518157379
"ACOX2",-0.836265731960106,3.86242765812617,6.12786002050344,0.0205152576876773,0.202698518157379
"LOC105376924",-4.04270751261271,-2.57011413581831,6.11499691312133,0.0205470132502611,0.202698518157379
"ZPLD1",3.1163995119033,-1.13485131298328,6.04273857367623,0.020658530869621,0.202698518157379
"P2RY13",4.79860655260165,-2.26385433222819,6.15657711553898,0.020826736526538,0.202698518157379
"OR5AC4P",-3.44510812629004,-2.35577128846015,6.0768302852819,0.020904888087351,0.202698518157379
"LOC107986024",4.76577155140877,-2.29984610398235,6.1432614220544,0.0209500771332027,0.202698518157379
"RHOA",-0.253569341171574,10.1345520445837,6.00101546293428,0.0210595863020654,0.202698518157379
"CIP2A",0.864367417607951,2.31467235707216,5.95240808313851,0.021537655750264,0.205870281861144
"LOC107986059",-2.50895217850068,-1.19941905587024,5.91581661004294,0.0219054266233008,0.206666656176054
"LOC105377146",-2.75570548826665,-1.7811998245021,5.97246349563129,0.0219191908065512,0.206666656176054
"LINC00971",-4.09493565434106,-1.4358667280662,5.99659798630424,0.0223637078928387,0.207832822748267
"LOC105374005",-2.68435799208258,-1.93648034794309,5.86850789454501,0.0223912009919047,0.207832822748267
"SETD5",0.373185622965084,5.27901338822003,5.85260759424725,0.0225571222800426,0.207832822748267
"EDEM1",-0.498562348059926,4.97488316917646,5.84445870927569,0.0226426812662253,0.207832822748267
"EOGT",-0.476664750184298,5.33207706165676,5.81272879230435,0.0229792511764238,0.208666682856774
"VILL",0.815878144543542,2.00229928037004,5.80755671223198,0.0230346338218517,0.208666682856774
"SSR3",-0.309710270998175,8.54494005395085,5.7544124090112,0.0236123027939106,0.210627757551657
"APOD",-1.14156509283561,0.713036253642087,5.74884308939143,0.0236737586849895,0.210627757551657
"ZBED2",5.22385203611833,-1.59678405530719,5.86649042041843,0.0237070203304895,0.210627757551657
"LOC100131216",-3.91519276736705,-2.15346699549052,5.82524500648569,0.0241514390947224,0.21105853846819
"LINC00852",2.7950351115668,-1.63944519031435,5.68043265915947,0.0244432102956764,0.21105853846819
"RPL6P9",-4.07062210775968,-2.03010331233987,5.87009995409746,0.024511565715793,0.21105853846819
"ADAMTS9-AS2",2.10806612801451,-0.617180605689336,5.6696083650931,0.024567465192623,0.21105853846819
"LRRC3B",4.85223701802071,-0.986558849588836,5.71244242568741,0.0246914596994783,0.21105853846819
"EIF4E3",-1.0826239589401,1.39455016423673,5.64966506097408,0.0247982279313657,0.21105853846819
"CADPS",-2.21902334083788,-0.74106488038784,5.64092324320758,0.0249001318006802,0.21105853846819
