"logFC","logCPM","F","PValue","FDR"
"NICN1",-8.956471325255,2.85109307013148,325.750798490504,1.45449084127922e-12,1.03268849730825e-10
"UBA7",2.15814103059955,4.05650719630963,73.4252818596131,5.74718375164502e-08,2.04025023183398e-06
"COL7A1",1.33115881673741,5.07573380969376,33.2281409488135,1.46022326255492e-05,0.000345586172137997
"SLC26A6",0.834996211634739,4.62142095838965,11.8430463031016,0.00272198101709611,0.048315163053456
"RHOA",-0.253569341171574,10.1345520445837,9.58724215840898,0.00592088579246112,0.0724855536176638
"GPX1",0.50668917951149,7.83045961573432,9.49314120944014,0.00612553974233779,0.0724855536176638
"PFKFB4",0.710014495689976,3.9856150089247,8.37004735194432,0.00928933312266587,0.0942203788156109
"TRAIP",1.20972502704065,1.15174019623633,6.90665108006807,0.0165220153908595,0.146632886593878
"MST1",1.30769831448059,0.908242693441326,6.00409124944784,0.0240847365012737,0.190001810176715
"IMPDH2",0.318845645995402,6.36714911266306,5.26083979058269,0.033329376901491,0.227288791134092
"SEMA3F-AS1",2.58572213283559,-1.12757690181009,5.10246691383064,0.0357851779514027,0.227288791134092
"SLC38A3",-2.5853191738499,0.147321863902137,4.9460317319976,0.0384150069522409,0.227288791134092
"LAMB2P1",3.26935837285726,-2.63945694832298,3.11484966345749,0.0954486942819669,0.521296714924588
"SEMA3B",2.3648240637018,2.46434414928681,2.81284094498283,0.110870369675658,0.562271160497979
"QRICH1",-0.222554175801239,5.517649058843,2.6373083086814,0.120781532285922,0.571699252820029
"HYAL3",0.452240617971167,3.23851803755411,2.34093167507261,0.142420752010014,0.631992087044438
"USP19",0.271596643653168,5.12488144822345,1.58002861615903,0.22392285873733,0.86264367267592
"CACNA2D2",-0.842148642970268,-1.78105841738223,1.38219496761352,0.254185876420223,0.86264367267592
"QARS1",0.187144575316693,6.90164776447951,1.37384979436877,0.255575731160129,0.86264367267592
"IHO1",0.47106615306349,2.12709786190951,1.2848588789177,0.27103622953931,0.86264367267592
"PRKAR2A",-0.228243421202078,4.66120607326952,1.26057908552859,0.275467756953303,0.86264367267592
"RBM6",0.185533703167961,5.09989840143649,1.24251041057254,0.27882831449861,0.86264367267592
"KLHDC8B",0.191472540558554,4.85506312738536,1.23921048383445,0.279447950303467,0.86264367267592
"TMA7",0.152636937421892,6.95473485233582,1.07631353093055,0.31249016962578,0.880986031285831
"SHISA5",0.132959822886761,7.93576760967046,1.00644697198421,0.32830630840948,0.880986031285831
"AMT",-0.88186354569126,0.922944484416844,0.97931418330638,0.334749442786004,0.880986031285831
"AMIGO3",0.669472498200642,0.297554168354749,0.978179031195396,0.335022856967851,0.880986031285831
"C3orf84",-1.09245901520554,-2.5123812542931,0.883598955103873,0.360318794582988,0.881283677386818
"CELSR3",0.765187013930512,0.264598879263515,0.873030152367204,0.361789905688059,0.881283677386818
"SEMA3F",-0.359750291291021,3.37164461328283,0.834492115635577,0.372373384811331,0.881283677386818
"MST1R",-0.870187753433445,-1.31216397500865,0.732547279965904,0.402676860891648,0.883194999871818
"ARIH2OS",0.247084723735223,1.11617777381224,0.728504401497549,0.40395409282703,0.883194999871818
"ZMYND10",0.924890595012848,-1.0246074213628,0.708089183562435,0.410499084447465,0.883194999871818
"USP4",-0.120912122634087,5.97367148402687,0.548523241449411,0.467936478792079,0.968029882474157
"SLC25A20",-0.121047521081392,5.88146087265949,0.525745585952455,0.477197829388669,0.968029882474157
"CYB561D2",-0.106881226701264,6.3162998434271,0.366292609187536,0.55216138871986,0.977663735237384
"HYAL2",-0.389932643543905,5.99959908990776,0.364321547170577,0.553680840789155,0.977663735237384
"NCKIPSD",-0.306804212368399,3.35195209806708,0.356022628449663,0.557735773567992,0.977663735237384
"RNF123",-0.130777750666136,5.37366047403948,0.346058612246644,0.563250207405604,0.977663735237384
"TMEM115",-0.164598657216753,7.04336235233052,0.340187212203536,0.566550329978148,0.977663735237384
"LAMB2",0.10726805067961,9.28732322018118,0.289649375350765,0.596666668741051,0.977663735237384
"GMPPB",-0.255877569253008,5.2161314882815,0.271555572810993,0.608554415325287,0.977663735237384
"BSN",-0.68435725381872,-1.56710810064814,0.263061782445094,0.613909991064275,0.977663735237384
"NAA80",-0.150298536175737,2.38430388023875,0.257399650312261,0.617724730118683,0.977663735237384
"NPRL2",0.0931970867590646,4.86098263152251,0.25457743316266,0.619646029375807,0.977663735237384
"IP6K1",-0.0925021047896716,5.16256168655507,0.1865699557559,0.670627379447123,0.999648504933169
"UQCRC1",-0.166595998464389,7.79245734021051,0.158734380478153,0.694945828663185,0.999648504933169
"NDUFAF3",0.109229434757436,6.84233121709562,0.156028098012746,0.697219905116749,0.999648504933169
"C3orf62",0.209210433016253,0.438965695369035,0.154926495072238,0.698233885714935,0.999648504933169
"DAG1",-0.0757237298785981,5.91983206935372,0.106158306786953,0.748106269041246,0.999648504933169
"P4HTM",-0.157596593027085,4.41038119966231,0.0852447631270983,0.773603935901932,0.999648504933169
"TUSC2",-0.285715033066691,4.21836011483873,0.0639462553979121,0.803242332800085,0.999648504933169
"UCN2",0.187656062143206,-1.15906802697908,0.0518512942469895,0.822294307121798,0.999648504933169
"IP6K2",0.0336319372472361,6.11379522757215,0.0408835934525251,0.841902532398261,0.999648504933169
"RASSF1",0.0252510538634961,6.04981963362225,0.0385182386153378,0.846480852579473,0.999648504933169
"GNAI2",-0.136860870409362,8.04906752983016,0.0355292670228917,0.852609262920725,0.999648504933169
"IFRD2",-0.135632175150289,5.16789306073201,0.034721534415111,0.854273721762679,0.999648504933169
"MON1A",-0.169273290113333,3.6552229466003,0.0347214304035144,0.854273937380072,0.999648504933169
"WDR6",0.0278368972762959,7.10138659039108,0.0312124584827199,0.861628539102768,0.999648504933169
"ARIH2",-0.0299784437363551,5.7761179476437,0.0151861537061255,0.903211806474535,0.999648504933169
"CCDC51",0.0164811129094587,4.64243427366188,0.00819147338585622,0.928827658787862,0.999648504933169
"DALRD3",0.0621361609131268,3.37216217880131,0.0071597060209593,0.933488505174094,0.999648504933169
"TCTA",0.00978298885222926,7.32281412726099,0.00629992534353509,0.937563025432119,0.999648504933169
"PLXNB1",-0.0197774802601632,3.67148957909384,0.00555924410343055,0.941340496146288,0.999648504933169
"HYAL1",2.03161407361506,-1.74220103709423,0.00515413284451618,0.94360092952869,0.999648504933169
"RBM5",0.0138098907913855,5.47683084889407,0.00490610133524711,0.944887707218628,0.999648504933169
"INKA1",0.0173825726486667,2.90597365864144,0.00468710119465538,0.9461297420142,0.999648504933169
"PRKAR2A-AS1",-0.0284814184096678,-1.16060982574276,0.00164352730465803,0.968083366957462,0.999648504933169
"APEH",-0.00220227616648462,6.73924797634157,0.00022588796031049,0.988164595052416,0.999648504933169
"CCDC71",0.00666449018491293,0.345716046895471,0.00016470870509206,0.989893529410081,0.999648504933169
"CDHR4",1.6278882150665,-2.69318986210381,2.00605363593939e-07,0.999648504933169,0.999648504933169
