"","logFC","logCPM","F","PValue","FDR"
"CDCP1",-3.52784520550541,3.48430026005038,138.978978532285,7.61169686212848e-11,6.41666045477431e-08
"CSTA",-2.36673342098648,2.28464472036696,106.757154458755,8.60001860811218e-10,3.08340362520536e-07
"RNF7",0.715005044021922,6.9704609508832,103.62477130276,1.12409804086536e-09,3.08340362520536e-07
"OXTR",-3.89035875938025,6.14707990001197,100.617572825967,1.46306221836553e-09,3.08340362520536e-07
"LINC00888",1.14220565814176,3.81662351637252,84.4173492095501,6.84761514820886e-09,1.15450791398801e-06
"CBLB",-0.712039482683686,6.32741614260421,81.232718637696,9.53823816220222e-09,1.34012246178941e-06
"COL7A1",-1.74754298350756,5.10663564068546,74.1424430257275,2.07429124143856e-08,2.20140705757534e-06
"HACD2",-1.02227099722729,6.8103345182871,74.079795468482,2.08911701786509e-08,2.20140705757534e-06
"BRK1",0.689050051824023,7.8422710839775,70.5387149538719,3.14938531039285e-08,2.94992424073463e-06
"PTPRG",-1.15637249892782,5.0013040952471,69.2053774380241,3.6911387720106e-08,3.11162998480493e-06
"COX17",0.88293205015253,5.63138342948407,66.1583171225385,5.35357291641322e-08,4.10278360776031e-06
"STT3B",-1.31614778605578,7.23562362276718,63.2757305435752,7.70472431719926e-08,5.15385452522069e-06
"TMA7",0.723280050169285,6.92970076425024,62.8104108474381,8.18074224818535e-08,5.15385452522069e-06
"PARP3",0.705964452378127,5.63184109584309,62.4611200509278,8.55918900985643e-08,5.15385452522069e-06
"PTX3",-2.70565685473992,8.93032664567333,60.8895641445501,1.05157537339856e-07,5.90985359849989e-06
"FOXP1",-0.85877650428147,5.44685088163337,56.2037989836356,1.99123474220317e-07,1.0491318047983e-05
"PRKCD",-1.73693374828993,3.49862044175525,55.6245724701644,2.16061964722536e-07,1.07141315447705e-05
"ANAPC13",0.679981755616813,7.10859090402842,50.6786444891838,4.4556050428167e-07,2.08670836171916e-05
"SUSD5",-0.844386846968469,4.7495129816807,49.8412377072958,5.06176416416601e-07,2.09669186654843e-05
"CIDECP1",0.673165748016228,4.94889424144238,49.7593033125948,5.12575307432757e-07,2.09669186654843e-05
"SEMA3F",-1.47830669365045,3.41501858659254,49.6368073918804,5.22307582414198e-07,2.09669186654843e-05
"SMIM4",0.74618606753572,4.87029130649734,47.7483323094129,7.00998532244092e-07,2.68609892128077e-05
"ACTRT3",1.18008262473688,2.5228670323351,47.4001331973012,7.407458444081e-07,2.71499455146099e-05
"EXOSC7",0.550585681202447,5.56619353345987,46.8813145593263,8.04617456529604e-07,2.82621881606023e-05
"PLXND1",-1.52588066684686,5.89338347822118,45.832082492848,9.53006200430199e-07,3.21353690785063e-05
"OSTN-AS1",2.09381840497822,2.44666214912249,44.515562654494,1.18306952680467e-06,3.83587542729361e-05
"PROS1",-1.65313058556273,4.91120179822471,43.3937452426933,1.42747372062802e-06,4.45689017218304e-05
"CRTAP",-1.43027208363955,6.99485161309476,43.046173205956,1.51402062543185e-06,4.55828352585375e-05
"BCL6",-0.780145501944762,3.66364728665851,42.5456145433944,1.64891265983015e-06,4.79321852495455e-05
"MYLK",-1.03497252334352,7.84881956727356,42.2555038049191,1.73307309473467e-06,4.86993539620441e-05
"ARHGAP31",-0.779406377289726,4.80194683632048,41.6646882724301,1.91937556486531e-06,5.2194632296176e-05
"PLCD1",-0.666334248038112,5.26045574772212,40.6192196177307,2.30507286980243e-06,6.07242634138579e-05
"SLC25A20",0.591523067743253,5.86600933037104,39.7697416960243,2.68117204261342e-06,6.84917585431245e-05
"TOP2B",-0.904956141866169,4.77271546590031,38.1710823869415,3.58462750287006e-06,8.88776760270429e-05
"SELENOT",0.541208578884677,7.85168350594632,37.8805412952724,3.78215913559704e-06,9.10960043230944e-05
