"","logFC","logCPM","F","PValue","FDR"
"NICN1",-5.00709568441203,2.89459347624624,362.705595822747,6.21350002455153e-15,8.72064728445808e-11
"SLC38A5",5.386593769819,3.62490656887895,259.913493243785,1.77646632944359e-13,1.24663524668704e-09
"CNN1",-2.15696984426126,4.53059396536771,171.50115627385,1.03717233600677e-11,4.85223791195166e-08
"CD36",-2.85772476476683,8.47253630243933,159.455205535534,2.07990858414396e-11,7.29787924461513e-08
"LOXL4",-1.77227971515546,7.55640474539102,151.610805206211,3.35679252712886e-11,9.42251662365072e-08
"IVNS1ABP",-1.16011479070365,7.34247155699258,133.989536639362,1.0709163517601e-10,2.50505183282549e-07
"ANGPTL2",1.28212665420966,5.09694707828654,107.403663375583,8.14426932806836e-10,1.63292600027771e-06
"TGM2",-1.15539276555941,10.0724399723592,99.4695169260715,1.62073763892415e-09,2.84338159528755e-06
"PAMR1",4.10371722570098,4.80712619168504,88.7504414662528,4.43193910188119e-09,6.91136281054473e-06
"MGARP",1.45877962998664,5.18205970689296,79.0915985584903,1.19895144265546e-08,1.57602183816747e-05
"UBE2L6",0.899805783522021,5.07311166163558,78.106926626671,1.33415339589102e-08,1.57602183816747e-05
"RASA1",-0.874569989463612,5.22849080511343,78.0156457850311,1.34750709355252e-08,1.57602183816747e-05
"TRIM58",6.25793663638645,0.0134110603171162,72.5643384032609,2.48552318145856e-08,2.68340906552084e-05
"LOC105377703",2.71826012409756,1.65556790343952,71.268040491972,2.89032898770339e-08,2.89755481017265e-05
"ID2",0.813578574610088,6.6886467886894,68.8693028443867,3.84324656754982e-08,3.59599770503744e-05
"FES",3.01570825919917,2.56724996053484,65.7327011460492,5.64486177494625e-08,4.95160218821066e-05
"SCRG1",2.24612720007255,2.12293800436698,65.2397665558648,6.00406647211022e-08,4.95688664329805e-05
"NTF3",1.87127220139071,4.36524963583115,63.8768713015497,7.13405861771775e-08,5.56258403887047e-05
"STK38L",-1.10582999257812,7.06834594303076,62.6820726766561,8.31762340558148e-08,6.14409707880717e-05
"MGP",-1.11009109203866,4.14693424531763,61.7126649741015,9.43622999979601e-08,6.28780070263795e-05
"PLXNB3-AS1",5.96909821961114,0.959755207213738,61.4548525743813,9.76071927410311e-08,6.28780070263795e-05
"MTLN",8.212857001196,4.09134704404455,61.3807814073445,9.8561892025675e-08,6.28780070263795e-05
"LRRC17",-1.36277529969699,2.36781248553948,59.3559230420385,1.29057512116382e-07,7.87531383718876e-05
"EFHD1",-4.15132897147677,3.20427405235046,57.5624397063759,1.64818051722843e-07,9.48696978741647e-05
"TCEAL7",6.73208992542336,2.17514296461086,57.3815388192103,1.68987705511515e-07,9.48696978741647e-05
"TBX18",2.02397904062824,2.08988430729454,56.6401408013474,1.87322841406379e-07,9.98823177304537e-05
"UBA7",1.23856318403323,4.10465763811188,56.4581215971602,1.92149809670271e-07,9.98823177304537e-05
"GPAT2",3.25714206373807,1.8179728008709,56.1512433948601,2.00598814102934e-07,0.000100027098113867
"RARRES2",-2.11986647178009,3.14112168238748,55.9389114522036,2.06682283242049e-07,0.000100027098113867
